# 2023-01-06T12:17:33+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.262
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.190
# FWHM Valid: FALSE (No Signal)
# FIT MSE: 3.185014370144E-7
# Amplitude: 0.014511
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
# ==========
-2.752066651878E+0	3.925497601141E-3	4.390907299348E-3
-2.751997307905E+0	4.600852027144E-3	4.390907299348E-3
-2.751926154831E+0	4.474223072268E-3	4.390907299348E-3
-2.751853194031E+0	3.967707252766E-3	4.390907299348E-3
-2.751778426876E+0	3.841078297891E-3	4.390907299348E-3
-2.751701854741E+0	4.474223072268E-3	4.390907299348E-3
-2.751623478997E+0	3.883287949516E-3	4.390907299348E-3
-2.751543301017E+0	3.587820388140E-3	4.390907299348E-3
-2.751461322174E+0	4.305384465768E-3	4.390907299348E-3
-2.751377543841E+0	3.376772130014E-3	4.390907299348E-3
-2.751291967390E+0	3.207933523513E-3	4.390907299348E-3
-2.751204594195E+0	4.558642375519E-3	4.390907299348E-3
-2.751115425628E+0	3.714449343015E-3	4.390907299348E-3
-2.751024463062E+0	4.474223072268E-3	4.390907299348E-3
-2.750931707869E+0	4.727480982019E-3	4.390907299348E-3
-2.750837161423E+0	4.896319588520E-3	4.390907299348E-3
-2.750740825095E+0	4.938529240145E-3	4.390907299348E-3
-2.750642700260E+0	3.925497601141E-3	4.390907299348E-3
-2.750542788290E+0	4.980738891770E-3	4.390907299348E-3
-2.750441090557E+0	4.811900285270E-3	4.390907299348E-3
-2.750337608434E+0	4.094336207642E-3	4.390907299348E-3
-2.750232343294E+0	4.305384465768E-3	4.390907299348E-3
-2.750125296509E+0	4.389803769018E-3	4.390907299348E-3
-2.750016469454E+0	4.685271330394E-3	4.390907299348E-3
-2.749905863499E+0	4.558642375519E-3	4.390907299348E-3
-2.749793480019E+0	3.841078297891E-3	4.390907299348E-3
-2.749679320386E+0	4.009916904391E-3	4.390907299348E-3
-2.749563385972E+0	4.178755510892E-3	4.390907299348E-3
-2.749445678150E+0	4.136545859267E-3	4.390907299348E-3
-2.749326198294E+0	4.558642375519E-3	4.390907299348E-3
-2.749204947775E+0	4.769690633645E-3	4.390907299348E-3
-2.749081927967E+0	3.967707252766E-3	4.390907299348E-3
-2.748957140243E+0	4.643061678769E-3	4.390907299348E-3
-2.748830585974E+0	4.094336207642E-3	4.390907299348E-3
-2.748702266535E+0	3.967707252766E-3	4.390907299348E-3
-2.748572183297E+0	5.402835408022E-3	4.390907299348E-3
-2.748440337634E+0	4.136545859267E-3	4.390907299348E-3
-2.748306730918E+0	3.883287949516E-3	4.390907299348E-3
-2.748171364522E+0	4.305384465768E-3	4.390907299348E-3
-2.748034239819E+0	4.220965162517E-3	4.390907299348E-3
-2.747895358182E+0	4.432013420643E-3	4.390907299348E-3
-2.747754720982E+0	4.685271330394E-3	4.390907299348E-3
-2.747612329594E+0	4.854109936895E-3	4.390907299348E-3
-2.747468185390E+0	4.009916904391E-3	4.390907299348E-3
-2.747322289742E+0	4.052126556017E-3	4.390907299348E-3
-2.747174644024E+0	2.912465962137E-3	4.390907299348E-3
-2.747025249608E+0	4.643061678769E-3	4.390907299348E-3
-2.746874107867E+0	4.347594117393E-3	4.390907299348E-3
-2.746721220173E+0	3.630030039765E-3	4.390907299348E-3
-2.746566587900E+0	4.220965162517E-3	4.390907299348E-3
-2.746410212420E+0	3.925497601141E-3	4.390907299348E-3
-2.746252095106E+0	3.630030039765E-3	4.390907299348E-3
-2.746092237331E+0	4.347594117393E-3	4.390907299348E-3
-2.745930640468E+0	4.811900285270E-3	4.390907299348E-3
-2.745767305888E+0	4.811900285270E-3	4.390907299348E-3
-2.745602234966E+0	4.347594117393E-3	4.390907299348E-3
-2.745435429074E+0	4.643061678769E-3	4.390907299348E-3
-2.745266889584E+0	5.065158195021E-3	4.390907299348E-3
-2.745096617869E+0	4.389803769018E-3	4.390907299348E-3
-2.744924615303E+0	4.389803769018E-3	4.390907299348E-3
-2.744750883258E+0	3.798868646266E-3	4.390907299348E-3
-2.744575423106E+0	4.727480982019E-3	4.390907299348E-3
-2.744398236220E+0	3.841078297891E-3	4.390907299348E-3
-2.744219323974E+0	4.432013420643E-3	4.390907299348E-3
-2.744038687740E+0	4.052126556017E-3	4.390907299348E-3
-2.743856328890E+0	4.178755510892E-3	4.390907299348E-3
-2.743672248798E+0	4.052126556017E-3	4.390907299348E-3
-2.743486448837E+0	4.094336207642E-3	4.390907299348E-3
-2.743298930378E+0	3.418981781639E-3	4.390907299348E-3
-2.743109694795E+0	2.743627355636E-3	4.390907299348E-3
-2.742918743461E+0	4.558642375519E-3	4.390907299348E-3
-2.742726077748E+0	4.727480982019E-3	4.390907299348E-3
-2.742531699029E+0	4.811900285270E-3	4.390907299348E-3
-2.742335608677E+0	4.220965162517E-3	4.390907299348E-3
-2.742137808064E+0	4.685271330394E-3	4.390907299348E-3
-2.741938298564E+0	4.685271330394E-3	4.390907299348E-3
-2.741737081549E+0	3.925497601141E-3	4.390907299348E-3
-2.741534158392E+0	3.587820388140E-3	4.390907299348E-3
-2.741329530466E+0	4.220965162517E-3	4.390907299348E-3
-2.741123199143E+0	4.432013420643E-3	4.390907299348E-3
-2.740915165797E+0	4.474223072268E-3	4.390907299348E-3
-2.740705431799E+0	4.516432723893E-3	4.390907299348E-3
-2.740493998523E+0	4.178755510892E-3	4.390907299348E-3
-2.740280867342E+0	3.165723871888E-3	4.390907299348E-3
-2.740066039628E+0	3.503401084889E-3	4.390907299348E-3
-2.739849516754E+0	4.389803769018E-3	4.390907299348E-3
-2.739631300093E+0	3.672239691390E-3	4.390907299348E-3
-2.739411391017E+0	3.672239691390E-3	4.390907299348E-3
-2.739189790900E+0	4.009916904391E-3	4.390907299348E-3
-2.738966501114E+0	4.811900285270E-3	4.390907299348E-3
-2.738741523032E+0	4.558642375519E-3	4.390907299348E-3
-2.738514858027E+0	4.094336207642E-3	4.390907299348E-3
-2.738286507471E+0	3.798868646266E-3	4.390907299348E-3
-2.738056472737E+0	4.474223072268E-3	4.390907299348E-3
-2.737824755198E+0	3.714449343015E-3	4.390907299348E-3
-2.737591356227E+0	4.474223072268E-3	4.390907299348E-3
-2.737356277196E+0	4.389803769018E-3	4.390907299348E-3
-2.737119519479E+0	3.798868646266E-3	4.390907299348E-3
-2.736881084447E+0	3.630030039765E-3	4.390907299348E-3
-2.736640973475E+0	4.347594117393E-3	4.390907299348E-3
-2.736399187934E+0	4.643061678769E-3	4.390907299348E-3
-2.736136886375E+0	4.643061678769E-3	4.390907299348E-3
-2.735865832058E+0	4.685271330394E-3	4.390907299348E-3
-2.735654790468E+0	3.672239691390E-3	4.390907299348E-3
-2.735406795892E+0	3.714449343015E-3	4.390907299348E-3
-2.735157710349E+0	3.672239691390E-3	4.390907299348E-3
-2.734918597134E+0	3.587820388140E-3	4.390907299348E-3
-2.734653499958E+0	4.811900285270E-3	4.390907299348E-3
-2.734436952441E+0	3.925497601141E-3	4.390907299348E-3
-2.734167293198E+0	5.022948543396E-3	4.390907299348E-3
