# 2023-01-06T13:46:45+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.260
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.190
# FWHM Valid: FALSE (No Signal)
# FIT MSE: 3.307543451984E-7
# Amplitude: 0.014655
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
# ==========
-2.769962596465E+0	4.685271330394E-3	4.044398247406E-3
-2.769892458775E+0	4.727480982019E-3	4.044398247406E-3
-2.769820603062E+0	3.587820388140E-3	4.044398247406E-3
-2.769747029650E+0	4.178755510892E-3	4.044398247406E-3
-2.769671738868E+0	3.925497601141E-3	4.044398247406E-3
-2.769594731043E+0	4.220965162517E-3	4.044398247406E-3
-2.769516006499E+0	3.334562478389E-3	4.044398247406E-3
-2.769435565566E+0	3.925497601141E-3	4.044398247406E-3
-2.769353408568E+0	5.065158195021E-3	4.044398247406E-3
-2.769269535834E+0	3.798868646266E-3	4.044398247406E-3
-2.769183947689E+0	3.418981781639E-3	4.044398247406E-3
-2.769096644460E+0	4.389803769018E-3	4.044398247406E-3
-2.769007626475E+0	3.841078297891E-3	4.044398247406E-3
-2.768916894059E+0	3.672239691390E-3	4.044398247406E-3
-2.768824447540E+0	4.474223072268E-3	4.044398247406E-3
-2.768730287245E+0	4.009916904391E-3	4.044398247406E-3
-2.768634413499E+0	3.250143175138E-3	4.044398247406E-3
-2.768536826630E+0	4.811900285270E-3	4.044398247406E-3
-2.768437526964E+0	4.009916904391E-3	4.044398247406E-3
-2.768336514829E+0	3.925497601141E-3	4.044398247406E-3
-2.768233790551E+0	4.178755510892E-3	4.044398247406E-3
-2.768129354456E+0	3.756658994640E-3	4.044398247406E-3
-2.768023206871E+0	4.516432723893E-3	4.044398247406E-3
-2.767915348124E+0	4.263174814142E-3	4.044398247406E-3
-2.767805778541E+0	4.432013420643E-3	4.044398247406E-3
-2.767694498448E+0	3.756658994640E-3	4.044398247406E-3
-2.767581508172E+0	4.136545859267E-3	4.044398247406E-3
-2.767466808041E+0	4.052126556017E-3	4.044398247406E-3
-2.767350398380E+0	4.094336207642E-3	4.044398247406E-3
-2.767232279516E+0	3.545610736515E-3	4.044398247406E-3
-2.767112451777E+0	3.672239691390E-3	4.044398247406E-3
-2.766990915489E+0	4.305384465768E-3	4.044398247406E-3
-2.766867670978E+0	4.685271330394E-3	4.044398247406E-3
-2.766742718572E+0	4.896319588520E-3	4.044398247406E-3
-2.766616058597E+0	5.867141575899E-3	4.044398247406E-3
-2.766487691379E+0	4.136545859267E-3	4.044398247406E-3
-2.766357617247E+0	4.220965162517E-3	4.044398247406E-3
-2.766225836525E+0	5.107367846646E-3	4.044398247406E-3
