angulo	Angulo corrigido	ratio	Pin	Pout
268	0	0.017964072	167	3
276	8	0.02994012	167	5
284	16	0.214285714	168	36
292	24	0.463855422	166	77
300	32	0.722891566	166	120
308	40	0.904191617	167	151
316	48	0.976047904	167	163
324	56	0.909638554	166	151
332	64	0.718562874	167	120
340	72	0.45508982	167	76
348	80	0.215568862	167	36
356	88	0.072289157	166	12
4	96	0.082352941	170	14
12	104	0.217647059	170	37
20	112	0.405882353	170	69
28	120	0.645348837	172	111
36	128	0.830409357	171	142
44	136	0.912790698	172	157
52	144	0.882352941	170	150
60	152	0.705882353	170	120
68	160	0.432748538	171	74
76	168	0.210526316	171	36
84	176	0.047337278	169	8
92	184	0.01754386	171	3
100	192	0.088235294	170	15
108	200	0.350877193	171	60
116	208	0.630057803	173	109
124	216	0.817647059	170	139
132	224	0.958579882	169	162
140	232	0.941176471	170	160
148	240	0.794117647	170	135
156	248	0.579881657	169	98
164	256	0.347058824	170	59
172	264	0.153846154	169	26
180	272	0.088235294	170	15
188	280	0.130177515	169	22
196	288	0.301775148	169	51
204	296	0.532544379	169	90
212	304	0.763313609	169	129
220	312	0.9	170	153
228	320	0.893491124	169	151
236	328	0.769230769	169	130
244	336	0.579881657	169	98
252	344	0.321637427	171	55
260	352	0.113095238	168	19
