# 2023-01-10T14:05:24+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.265
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.188
# FWHM Valid: TRUE
# FIT MSE: 3.407087568636E-7
# Amplitude: 0.094469
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
# ==========
-2.764485244212E+0	5.951560879149E-3	5.457068591844E-3
-2.764422334830E+0	4.980738891770E-3	5.457068591844E-3
-2.764357478649E+0	4.432013420643E-3	5.457068591844E-3
-2.764290677819E+0	5.445045059647E-3	5.457068591844E-3
-2.764221934491E+0	5.487254711272E-3	5.457068591844E-3
-2.764151250815E+0	5.529464362898E-3	5.457068591844E-3
-2.764078628943E+0	5.065158195021E-3	5.457068591844E-3
-2.764004071025E+0	4.769690633645E-3	5.457068591844E-3
-2.763927579212E+0	5.402835408022E-3	5.457068591844E-3
-2.763849155654E+0	5.022948543396E-3	5.457068591844E-3
-2.763768802504E+0	4.980738891770E-3	5.457068591844E-3
-2.763686521910E+0	6.035980182400E-3	5.457068591844E-3
-2.763602316025E+0	6.458076698651E-3	5.457068591844E-3
-2.763516186999E+0	5.698302969398E-3	5.457068591844E-3
-2.763428136982E+0	5.233996801521E-3	5.457068591844E-3
-2.763338168127E+0	4.854109936895E-3	5.457068591844E-3
-2.763246282582E+0	5.951560879149E-3	5.457068591844E-3
-2.763152482499E+0	4.811900285270E-3	5.457068591844E-3
-2.763056770030E+0	4.769690633645E-3	5.457068591844E-3
-2.762959147324E+0	5.867141575899E-3	5.457068591844E-3
-2.762859616533E+0	5.022948543396E-3	5.457068591844E-3
-2.762758179806E+0	5.782722272649E-3	5.457068591844E-3
-2.762654839296E+0	6.415867047026E-3	5.457068591844E-3
-2.762549597153E+0	5.656093317773E-3	5.457068591844E-3
-2.762442455528E+0	4.643061678769E-3	5.457068591844E-3
-2.762333416571E+0	4.938529240145E-3	5.457068591844E-3
-2.762222482433E+0	5.360625756397E-3	5.457068591844E-3
-2.762109655265E+0	5.276206453147E-3	5.457068591844E-3
-2.761994937218E+0	5.487254711272E-3	5.457068591844E-3
-2.761878330443E+0	5.233996801521E-3	5.457068591844E-3
-2.761759837090E+0	4.896319588520E-3	5.457068591844E-3
-2.761639459311E+0	5.276206453147E-3	5.457068591844E-3
-2.761517199255E+0	6.373657395401E-3	5.457068591844E-3
-2.761393059074E+0	5.867141575899E-3	5.457068591844E-3
-2.761267040919E+0	5.824931924274E-3	5.457068591844E-3
-2.761139146940E+0	5.360625756397E-3	5.457068591844E-3
-2.761009379288E+0	4.516432723893E-3	5.457068591844E-3
-2.760877740114E+0	5.022948543396E-3	5.457068591844E-3
-2.760744231569E+0	5.233996801521E-3	5.457068591844E-3
-2.760608855804E+0	5.698302969398E-3	5.457068591844E-3
-2.760471614969E+0	5.909351227524E-3	5.457068591844E-3
-2.760332511215E+0	5.824931924274E-3	5.457068591844E-3
-2.760191546692E+0	5.613883666148E-3	5.457068591844E-3
-2.760048723553E+0	5.993770530775E-3	5.457068591844E-3
-2.759904043947E+0	4.938529240145E-3	5.457068591844E-3
-2.759757510025E+0	5.613883666148E-3	5.457068591844E-3
-2.759609123939E+0	5.951560879149E-3	5.457068591844E-3
-2.759458887838E+0	4.769690633645E-3	5.457068591844E-3
-2.759306803874E+0	5.529464362898E-3	5.457068591844E-3
-2.759152874198E+0	5.824931924274E-3	5.457068591844E-3
-2.758997100959E+0	5.698302969398E-3	5.457068591844E-3
-2.758839486310E+0	5.402835408022E-3	5.457068591844E-3
-2.758680032401E+0	4.854109936895E-3	5.457068591844E-3
-2.758518741382E+0	5.107367846646E-3	5.457068591844E-3
